"plot","lat","long","cluster"
1,3.75,-62.25,1
2,3.25,-62.75,2
3,3.25,-62.25,1
4,3.25,-59.25,1
5,2.75,-68.75,2
6,2.75,-68.25,2
7,2.75,-67.75,2
8,2.75,-67.25,2
9,2.75,-66.75,2
10,2.75,-66.25,2
11,2.75,-65.75,2
12,2.75,-62.75,2
13,2.25,-73.25,2
14,2.25,-69.75,2
15,2.25,-69.25,2
16,2.25,-68.75,2
17,2.25,-67.75,2
18,2.25,-66.75,2
19,2.25,-66.25,2
20,2.25,-65.75,2
21,2.25,-65.25,2
22,2.25,-62.25,1
23,2.25,-60.25,3
24,2.25,-59.25,1
25,2.25,-55.75,1
26,2.25,-55.25,1
27,2.25,-54.75,1
28,1.75,-73.25,2
29,1.75,-72.75,2
30,1.75,-71.75,2
31,1.75,-71.25,2
32,1.75,-70.75,2
33,1.75,-70.25,2
34,1.75,-69.75,2
35,1.75,-69.25,2
36,1.75,-68.75,2
37,1.75,-68.25,2
38,1.75,-67.75,2
39,1.75,-66.75,2
40,1.75,-66.25,2
41,1.75,-65.75,2
42,1.75,-65.25,2
43,1.75,-63.75,2
44,1.75,-63.25,2
45,1.75,-62.75,1
46,1.75,-62.25,1
47,1.75,-61.75,1
48,1.75,-60.25,1
49,1.75,-59.75,1
50,1.75,-57.75,1
51,1.75,-57.25,1
52,1.75,-56.75,1
53,1.75,-56.25,1
54,1.75,-55.75,1
55,1.75,-55.25,1
56,1.75,-54.75,1
57,1.25,-76.25,2
58,1.25,-73.75,2
59,1.25,-73.25,2
60,1.25,-72.25,2
61,1.25,-71.25,2
62,1.25,-70.75,2
63,1.25,-69.75,2
64,1.25,-69.25,2
65,1.25,-68.75,2
66,1.25,-68.25,2
67,1.25,-67.75,2
68,1.25,-67.25,2
69,1.25,-66.75,2
70,1.25,-66.25,2
71,1.25,-65.75,2
72,1.25,-64.25,2
73,1.25,-63.75,2
74,1.25,-63.25,2
75,1.25,-62.75,2
76,1.25,-62.25,1
77,1.25,-61.75,1
78,1.25,-61.25,1
79,1.25,-60.25,1
80,1.25,-59.75,1
81,1.25,-59.25,1
82,1.25,-57.75,1
83,1.25,-57.25,1
84,1.25,-56.75,1
85,1.25,-56.25,1
86,1.25,-55.75,1
87,1.25,-55.25,1
88,1.25,-54.75,1
89,0.75,-74.25,2
90,0.75,-73.75,2
91,0.75,-73.25,2
92,0.75,-72.75,2
93,0.75,-72.25,2
94,0.75,-71.75,2
95,0.75,-71.25,2
96,0.75,-70.75,2
97,0.75,-70.25,2
98,0.75,-69.75,2
99,0.75,-69.25,2
100,0.75,-68.75,2
101,0.75,-68.25,2
102,0.75,-67.75,2
103,0.75,-66.75,2
104,0.75,-66.25,2
105,0.75,-65.75,2
106,0.75,-65.25,2
107,0.75,-64.75,2
108,0.75,-64.25,2
109,0.75,-63.75,2
110,0.75,-63.25,2
111,0.75,-62.75,2
112,0.75,-62.25,2
113,0.75,-61.75,2
114,0.75,-61.25,1
115,0.75,-60.75,1
116,0.75,-59.25,1
117,0.75,-58.75,1
118,0.75,-58.25,1
119,0.75,-57.75,1
120,0.75,-57.25,1
121,0.75,-56.75,1
122,0.75,-56.25,1
123,0.75,-55.75,1
124,0.75,-55.25,1
125,0.75,-54.75,1
126,0.75,-54.25,1
127,0.25,-75.75,2
128,0.25,-75.25,2
129,0.25,-74.75,2
130,0.25,-74.25,2
131,0.25,-73.75,2
132,0.25,-73.25,2
133,0.25,-72.75,2
134,0.25,-72.25,2
135,0.25,-71.75,2
136,0.25,-71.25,2
137,0.25,-70.75,2
